  radius  	  theta   
0.3691178	6.1555494
0.3688203	6.1498771
0.3733874	6.1993746
0.7569116	4.3362705
0.8233402	2.7930155
0.6576395	2.1051463
0.3571660	1.5184364
0.3616989	1.5037757
0.4833112	4.5626397
0.3314930	1.5123278
0.6400186	5.2587294
0.6330291	5.2577520
0.6443325	5.2409445
0.3336252	1.5107570
0.6443325	5.2407176
0.3353718	1.5074409
0.3324619	1.5119787
0.3336252	1.5081390
0.4667221	4.5842818
0.4743324	4.5807912
0.3595293	1.5015068
0.3314930	1.5022049
0.3320743	1.5093607
0.3312025	1.5090117
0.4741720	4.5807912
0.3348865	1.5077899
0.3316868	1.5079645
0.3337222	1.5233234
0.3317836	1.5126769
0.3302344	1.5104079
0.3303312	1.5058701
0.6381750	5.2648031
0.3316868	1.5079645
0.4880999	4.5767769
0.3342072	1.5090117
0.9238566	6.2517519
0.9281521	6.2587507
0.9813773	0.0053582
0.9818057	6.2722421
0.9680188	0.0023213
0.8612143	3.5616934
0.3745612	2.6630059
0.3752281	2.6579619
0.3719563	2.6461809
0.3748000	2.6595153
0.3739841	2.6613653
0.3738946	2.6622380
0.9014475	5.1680770
0.7010142	2.2780561
0.6812590	5.0002985
0.4609322	2.7840096
0.6773055	5.0092869
